"Total/ms","Delta/ms","Step"
"1.5907","1.5907","Engine SetObjectToken start"
"198.881","197.29","Engine SetObjectToken end"
"323.314","124.433","Engine output format set, target: (null), final: PCM 16 kHz 16 bits Mono"
"324.938","1.6235","Engine output format set, target: (null), final: PCM 16 kHz 16 bits Mono"
"325.555","0.6174","Client Speak start"
"326.327","0.7718","Engine output format set, target: PCM 16 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"1153.49","827.161","Client StartStream event"
"1153.74","0.2536","Engine Speak start"
"1208.33","54.5914","Engine audio data written, 151.69 ms / 4854 bytes silence skipped"
"1683.17","474.834","Engine Speak end"
"2193.99","510.823","Client EndStream event"
"2236.33","42.3362","Client Speak end"
"2236.67","0.3398","Client Speak start"
"2237.17","0.5082","Engine output format set, target: PCM 16 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"2362.99","125.82","Client StartStream event"
"2363.29","0.2987","Engine Speak start"
"2374.97","11.6725","Engine audio data written, 135.00 ms / 4320 bytes silence skipped"
"2848.57","473.609","Engine Speak end"
"3380.49","531.914","Client EndStream event"
"3424.21","43.7193","Client Speak end"
"3424.63","0.4229","Client Speak start"
"3425.83","1.2004","Engine output format set, target: PCM 16 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"3547.17","121.343","Client StartStream event"
"3547.31","0.1334","Engine Speak start"
"3558.74","11.4311","Engine audio data written, 116.94 ms / 3742 bytes silence skipped"
"4182.16","623.426","Engine Speak end"
"4672.53","490.365","Client EndStream event"
"4693.71","21.1805","Client Speak end"
"4693.86","0.1528","Client Speak start"
"4694.3","0.437","Engine output format set, target: PCM 16 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"4807.93","113.631","Client StartStream event"
"4808.28","0.3451","Engine Speak start"
"4815.72","7.4405","Engine audio data written, 112.88 ms / 3612 bytes silence skipped"
"5379.89","564.176","Engine Speak end"
"5900.72","520.83","Client EndStream event"
"5922.41","21.6929","Client Speak end"
"5922.6","0.1855","Client Speak start"
"5923.22","0.6229","Engine output format set, target: PCM 16 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"6042.36","119.135","Client StartStream event"
"6042.64","0.2847","Engine Speak start"
"6055.54","12.9015","Engine audio data written, 166.56 ms / 5330 bytes silence skipped"
"6570.47","514.921","Engine Speak end"
"7102.62","532.159","Client EndStream event"
"7137","34.3726","Client Speak end"
